same_state,items,avg_delivery_days,delay_rate,avg_freight,revenue,delay_rate_pct
False,71894,15.0498,0.0900,23.6935,9342519.18,9.0015
True,40756,7.9256,0.0598,13.4579,4249124.52,5.9805
